task_id,section_code,section_title,owner,priority,wave,can_parallel,depends_on,deliverable_path,definition_of_done,acceptance_check,blocking_risk,description,technical_reference,validation_commands,integration_validation,full_test_scope
DBX-001,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,,plans/sqlx-seaorm-migration-implementation-plan.md; plans/sqlx-seaorm-migration-tasklist.md; plans/sqlx-seaorm-migration-tasklist.csv,迁移边界影响面排除项回滚方式与验收标准全部冻结；明确只改数据库访问相关代码与技术说明,任务清单与实施方案一致；明确 migration 仍由 db/scripts 负责,边界不冻结会导致实现范围失控和回归验证漂移,冻结迁移边界影响面和验收基线,plans/sqlx-seaorm-migration-implementation-plan.md:L7-L14 | plans/sqlx-seaorm-migration-implementation-plan.md:L498-L520 | docs/开发准备/技术选型正式版.md:L22-L28,git branch --show-current | git status --short | rg -n 'tokio_postgres|tokio-postgres' apps/platform-core,无,无
DBX-002,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,DBX-001,apps/platform-core/Cargo.toml; apps/platform-core/crates/db/Cargo.toml; Cargo.lock,新增 sqlx sea-orm sea-query sea-query-binder；保留 tokio-postgres 仅作过渡依赖且不新增新调用,platform-core 可通过 cargo check；依赖图可见 sqlx 与 sea-orm,依赖特性选择错误会阻塞后续 runtime 与 entity 落地,引入 SQLx 与 SeaORM 依赖骨架,plans/sqlx-seaorm-migration-implementation-plan.md:L312-L346 | plans/sqlx-seaorm-migration-implementation-plan.md:L458-L496 | docs/开发准备/技术选型正式版.md:L30-L49,cargo check -p platform-core | cargo tree -p platform-core | rg 'sqlx|sea-orm|tokio-postgres',无,cargo test -p platform-core
DBX-003,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,DBX-002,apps/platform-core/crates/db/src/lib.rs; apps/platform-core/crates/db/src/config.rs; apps/platform-core/crates/db/src/dialect.rs; apps/platform-core/crates/db/src/error.rs; apps/platform-core/crates/db/src/runtime/*; apps/platform-core/crates/db/src/sqlx/*,建立 AppDb 方言识别统一错误映射和事务模板；当前正式实现 Postgres runtime,crates/db 提供 AppDb 和 transaction helper；platform-core 可引用新 runtime,基础 runtime 不稳定会导致所有模块重复返工,重构 crates/db 并建立统一数据库 runtime,plans/sqlx-seaorm-migration-implementation-plan.md:L79-L120 | plans/sqlx-seaorm-migration-implementation-plan.md:L152-L196 | plans/sqlx-seaorm-migration-implementation-plan.md:L605-L637,cargo check -p db | cargo test -p db | cargo check -p platform-core,无,cargo test -p platform-core
DBX-004,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,DBX-003,apps/platform-core/src/lib.rs; apps/platform-core/crates/http/src/lib.rs; 各模块 router 与 handler,build_router 和模块 router 统一支持 AppState 注入；handler 不再直接 connect 数据库,/health/live /health/ready 和一个真实业务 GET 接口可在新状态模型下工作,状态注入不完整会导致部分模块仍残留 driver 直连,引入 AppState 并切换 router 和 handler 到状态注入,plans/sqlx-seaorm-migration-implementation-plan.md:L111-L148 | plans/sqlx-seaorm-migration-implementation-plan.md:L500-L520 | docs/开发准备/仓库拆分与目录结构建议.md:L173-L180,cargo fmt --all | cargo check -p platform-core | cargo test -p platform-core | APP_PORT=8094 KAFKA_BROKERS=127.0.0.1:9094 KAFKA_BOOTSTRAP_SERVERS=127.0.0.1:9094 DATABASE_URL=postgres://datab:datab_local_pass@127.0.0.1:5432/datab cargo run -p platform-core,curl http://127.0.0.1:8094/health/live | curl http://127.0.0.1:8094/health/ready | curl -H 'x-user-id: 00000000-0000-0000-0000-000000000001' -H 'x-tenant-id: 11111111-1111-1111-1111-111111111111' -H 'x-role: tenant_admin' http://127.0.0.1:8094/api/v1/orders/standard-templates,cargo test -p platform-core
DBX-005,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,DBX-003,apps/platform-core/crates/db/src/runtime/*; 各领域仓储 trait 注册层,建立 repository trait 与 backend registry；显式区分 Postgres 正式实现与 MySQL 预留实现,应用初始化可按 dialect 注册仓储实现且不使用 sqlx::Any,没有 backend seam 会导致未来扩展只能再次推翻架构,建立 Postgres 与 MySQL 的上层扩展 seam,plans/sqlx-seaorm-migration-implementation-plan.md:L415-L456 | plans/sqlx-seaorm-migration-implementation-plan.md:L577-L593 | docs/开发准备/技术选型正式版.md:L24-L27,cargo check -p platform-core | rg -n 'sqlx::Any|AnyPool' apps/platform-core/crates/db apps/platform-core/src,无,cargo test -p platform-core
DBX-006,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,limited,DBX-003; DBX-005,apps/platform-core/crates/db/src/entity/*; apps/platform-core/crates/db/src/entity/mod.rs; apps/platform-core/crates/db/src/entity/prelude.rs,生成并整理 SeaORM entity；entity 不直接泄漏到 API DTO,entity 可被 catalog 与 iam 查询仓储引用且平台可编译,entity 组织混乱会反向污染业务模型,生成并整理 SeaORM entity 导出层,plans/sqlx-seaorm-migration-implementation-plan.md:L171-L196 | plans/sqlx-seaorm-migration-implementation-plan.md:L485-L496 | plans/sqlx-seaorm-migration-implementation-plan.md:L597-L603,sea-orm-cli generate entity --database-url postgres://datab:datab_local_pass@127.0.0.1:5432/datab --output-dir apps/platform-core/crates/db/src/entity --entity-format dense | cargo check -p platform-core | rg -n 'pub mod' apps/platform-core/crates/db/src/entity,无,cargo test -p platform-core
DBX-007,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,limited,DBX-002,.sqlx/; 相关 README 或脚本,稳定 SQL 查询具备编译期校验；.sqlx 元数据入库,cargo sqlx prepare --workspace 成功且不替代现有 migration 流程,没有编译期查询校验会留下运行期 SQL 漂移风险,建立 SQLx 编译期查询校验流程,plans/sqlx-seaorm-migration-implementation-plan.md:L472-L496 | plans/sqlx-seaorm-migration-implementation-plan.md:L648-L656 | docs/开发任务/v1-core-开发任务清单.md:L1037-L1043,cargo sqlx prepare --workspace | test -d .sqlx | cargo check -p platform-core,无,cargo test -p platform-core
DBX-008,DBX,数据访问基础设施与抽象层迁移,AGENT,P0,W0,serial-first,DBX-003; DBX-004,apps/platform-core/crates/db/src/testing/*; 各模块测试公共 helper,共享 DB 测试夹具和 seed helper 统一迁移到 SQLx；测试不再手工 connect NoTls,后续模块 smoke test 可复用统一 SQLx fixture,测试层不先迁移后续业务模块会一直被旧驱动牵制,迁移共享 DB 测试夹具与帮助函数,plans/sqlx-seaorm-migration-implementation-plan.md:L182-L196 | plans/sqlx-seaorm-migration-implementation-plan.md:L583-L593 | plans/sqlx-seaorm-migration-implementation-plan.md:L669-L685,cargo test -p platform-core trade003_create_order_db_smoke -- --nocapture | cargo test -p platform-core trade023_order_templates_db_smoke -- --nocapture | cargo test -p platform-core cat020_read_db -- --nocapture,无,cargo test -p platform-core
ORDX-001,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,DBX-004; DBX-005,apps/platform-core/src/modules/order/repo/mod.rs; apps/platform-core/src/modules/order/repo/command/*; apps/platform-core/src/modules/order/repo/query/*; apps/platform-core/src/modules/order/repo/shared/*,order repo 按 command query shared 重组且不改变外部导出行为,order 模块可编译且 repo 结构职责清晰,不先重组目录会导致后续 SQLx 与 SeaORM 改造继续堆到超大文件,重组 order 仓储目录结构,plans/sqlx-seaorm-migration-implementation-plan.md:L198-L238 | plans/sqlx-seaorm-migration-implementation-plan.md:L347-L357 | docs/开发准备/仓库拆分与目录结构建议.md:L173-L180,cargo fmt --all | cargo check -p platform-core,无,cargo test -p platform-core
ORDX-002,ORDX,订单与交易主链路迁移,AGENT,P0,W1,serial-first,ORDX-001,apps/platform-core/src/modules/order/api/handlers.rs; apps/platform-core/src/modules/order/api/mod.rs,order handlers 全量切换到 State<AppState> 与仓储调用且不再引用数据库驱动,order API 层不再出现 tokio_postgres 相关引用,handler 残留旧驱动会抵消 repo 迁移收益,迁移 order API handlers 的数据库访问方式,plans/sqlx-seaorm-migration-implementation-plan.md:L123-L128 | plans/sqlx-seaorm-migration-implementation-plan.md:L529-L538 | plans/sqlx-seaorm-migration-implementation-plan.md:L607-L616,cargo check -p platform-core | rg -n 'tokio_postgres|NoTls|connect\\(' apps/platform-core/src/modules/order/api,GET /api/v1/orders/standard-templates | GET /api/v1/orders/{id},cargo test -p platform-core
